Company,Skills
Informatica,"('java development\nnode\njs programming\njavascript coding\nhtml css design\nagile methodology\nalgorithms\nlinux\nsoftware engineer\ndata structures\nmaven\nteam player\neclipse\nentry level\nphp',)"
eurofins it solutions pvt ltd,"('web application development\n\nnet technologies\nsql database\nagile methodology\ncommunication skills\nhtml5\ndevops\nasp.net\nssrs\nc#\nerp  /  crm\njavascript\njquery\nsoftware engineer\ninformation management\nsoftware delivery\nmobile\nteam player\nwritten communication',)"
autodesk india pvt ltd,"('c   programming\nagile development\nteam leadership\nsoftware development\ncommunication skills\ngraphics\ndata structures\nobject oriented programming\nwindows programming\njavascript\nvisual studio\nfundamentals\ndatabase\njson\nsoftware engineer\ncloud services\nos\nconsultant',)"
eurofins it solutions pvt ltd,"('web development\nmicrosoft stack\nangular\nsql\nagile methodology\nsoa\nhtml5\noop\nasp.net\nc#\nerp  /  crm\njavascript\nmicrosoft technologies\njquery\nsoftware engineer\nmvc\ninformation management\nsoftware delivery\nmobile\nservice oriented architecture',)"
Moody's Corporation,"('nmt models maintenance\napi development\ntext manipulation\nsoftware debugging\nagile methodology\nalgorithms\ncuda\nc\ncurl\nrest api\ngcc\ngit\nxml\nlinux\njson\nsoftware engineer\nsoftware engineering\nmultithreading\nhtml\npython\ngithub\nwritten communication',)"
Moody's Corporation,"('python development\napi development\ndata modeling\nagile software processes\ncloud providers   (  gcp  /  aws  /  azure  )\nalgorithms\nrest api\nbootstrap\ndatabase\njson\nsoftware engineer\ndata structures',)"
Intellvisions Software Ltd,"('html5\njsp\ndocker\nspring\njava\nxml\ndevops\ndebugging\njson\nweb api\napi\nrest\noracle\nsvn\njavascript\neclipse\nunix',)"
eurofins it solutions pvt ltd,"('full stack development\n\nnet applications\nangular\nc#\nentity framework\nsoa\noop\nweb api\nsoftware engineering\nerp  /  crm\n.net\nsql\numl\ndebugging\ninformation management\nsoftware delivery\nmobile\nmicrosoft azure\nproblem solving',)"
Microsoft India Pvt Ltd,"('**  cloud service development\ndatabase management\nsoftware engineering\nprogramming languages\ncustomer experience focus **\nc\nsql\nsecurity\nc#\ncloud services\npython\nsql database',)"
Moody's Corporation,"('react.js\ntypescript\npython\nnode.js\nhtml\ncss\ndocker\npostgresql\nsoftware engineering\nmicrosoft azure\njavascript',)"
Zettaone Technologies India Pvt. Ltd.,"('microprocessor\njtag\nusb\ni2c\nembedded hardware\narm\nhardware\nmicrocontroller\nembedded software\nuart\narm controller',)"
eurofins it solutions pvt ltd,"('c#\n.net\nangular\nsql\numl\nsoa\noop\nweb api\nsoftware engineering\nerp  /  crm\ndebugging\ninformation management\nentity framework\nsoftware delivery\nmobile\nmicrosoft azure\nproblem solving',)"
eurofins it solutions pvt ltd,"('net development\nangular\nc#\nweb apis\nsql\nsoa\noop\nsoftware engineering\nerp  /  crm\n.net\numl\ndebugging\ninformation management\nentity framework\nsoftware delivery\nmobile\nmicrosoft azure\nproblem solving',)"
Larsen & Toubro Infotech Ltd,"('software development life cycle\ntroubleshooting and debugging\ncode design and testing\nsoftware quality assurance\ndocumentation and maintenance\nsoftware verification\nsdlc',)"
Dell India,"('c programming\nfirmware development\nbios  /  uefi\nsoftware architecture\ntest strategies\nbusiness environment\nstorage\nembedded software\nsoftware engineering',)"
JIVA INFOTECH,"('fundamentals\nalgorithms\nbug fixing\nsecurity\nxml\njson\nmvc\nrest\nc\noperating system\nproblem solving\nsoap',)"
TAURUS HARD SOFT SOLUTIONS,"('c\nc\nnetwork programming\nlinux\ndebugging\nipc\njava programming',)"
TAURUS HARD SOFT SOLUTIONS,"('c\nc\nnetwork programming\nlinux\ndebugging\ntelecom\nipc\njava programming',)"
Capgemini India Pvt Ltd,"('**\nnet core development\ncloud computing skills\napi design proficiency\nagile software management\nmicroservices architecture **\nc\nsoa\nhtml5\nrest api\nadvanced c\nspring\njava\nrtos\ndevops\nxml\nasp.net\nweb api\nc#\ngithub\nsoftware testing\nmaven\njavascript\nmessaging\nnosql\ngroovy\nstruts\nhybris',)"
Microsoft India Pvt Ltd,"('cloud computing\nfull stack development\nsoftware design\ndistributed systems\ncollaboration skills\nc#\nfundamentals\nc\npython\nsharepoint\njavascript\nsecurity\nsystem architecture',)"
Capgemini India Pvt Ltd,"('**  etl development\npython programming\nsql  /  nosql technologies\naws services expertise\ndevops tools experience **\nrest\ngithub\ncloud services\nstorage\ndatabase\nmongodb',)"
cloudxlab,"('retail lending\nnse\nlending\nbanking\nbse\nhousing finance',)"
TAURUS HARD SOFT SOLUTIONS,"('python\ndebugging\njava programming',)"
TAURUS HARD SOFT SOLUTIONS,"('python\nc\ndebugging\njava programming',)"
TAURUS HARD SOFT SOLUTIONS,"('database\nc\ntelecom\njdbc\njava developer\nsql',)"
Valley Telegence,"('c\nos\ndialogic\nss7\nlinux\ntelecom\nsoftware developer',)"
JIVA INFOTECH,"('rest\ncss\nsvn\njquery\ngit\noops\nlinux\nphp\nzend\ndebugging\nmysql\nhtml\nmvc\nsoap\nmagento',)"
Phoenix Knowledge Management Pvt. Ltd.,"('problem solving\ndatabase\njava\n.net\nvisual basic',)"
JIVA INFOTECH,"('css\nauthoring\njquery\ndatabase\ngit\nxml\nlinux\nweb development\nmysql\nmvc\nmagento\nrest\njavascript\nphp\nsoap',)"
JIVA INFOTECH,"('css\njquery\ngit\noops\nlinux\nzend\ndebugging\nmysql\nhtml\nmvc\nmagento\nrest\nteam player\nsvn\nphp\nsoap',)"
FINITE HR CONSUTING PVT LTD,"('mentor\nn-tier\nweb services\nmicrosoft technologies\nsenior developer\nunit testing\nobject oriented design\nsql\ncoding\ntechnical architecture\ndesign patterns\nmicrosoft .net\n.net framework\nasp.net\nwcf\nsoftware development\nversion control\napplication development\ntechnical design\nwritten communication',)"
Capgemini India Pvt Ltd,"('**\nnet framework\nc# programming\nsql database\nangular development\nunit testing **\nsoftware development\nbi\nsql server\nxml  /  xslt\ndesign patterns\n.net framework\nasp.net\nwcf',)"
Vacation Labs,"('github\nruby\ntandem\napi\nangularjs',)"
AnAr Solutions,"('.net technologies\n.net\nteam player',)"
JIVA INFOTECH,"('typography\nux designer\naftereffects\nindesign\nbrochures\nux\nphotoshop\ndesigning\nwireframes\nillustrator',)"
JIVA INFOTECH,"('css\njquery\nsql\nmvvm\ngit\nasp.net\noops\ndebugging\nhtml\nweb api\nmvc\nsingleton\nentity framework\nwix\nteam player\nsvn\nxaml\n.net\nc#.net',)"
JIVA INFOTECH,"('fundamentals\ncss\nbootstrap\njquery\nsql\noops\nhtml\nc#\nrest\nproblem solving\njavascript\ninfrastructure\n.net',)"
JIVA INFOTECH,"('fundamentals\ncss\nt-sql\nsql\ngit\nasp.net\noops\nweb api\nhtml\nmvc\npl  /  sql\nc#\nrest\n.net developer\nproblem solving\ninfrastructure\n.net',)"
JIVA INFOTECH,"('c#\ndml\nwindows\nlinq\n.net\nweb development',)"
JIVA INFOTECH,"('entity framework\nrest api\njquery\njavascript\nsql\nmvvm\ngit\nxml\n.net\njson\nmvc\napi',)"
JIVA INFOTECH,"('problem solving\ngit\nphp\nhtml\nmvc\nmagento',)"
JIVA INFOTECH,"('css\njquery\ngit\noops\nlinux\nzend\ndebugging\nmysql\nhtml\nmvc\ntechnical skills\nmagento\nrest\nsvn\njavascript\nweb hosting\nputty\nphp\nsoap',)"
JIVA INFOTECH,"('bug fixing\nwebkit\ndatabase\nsecurity\njava\nmvvm\ngit\nxml\njson\napi\nproblem solving',)"
Boyen Haddin Consultants LLP,"('fundamentals\naop\norchestration\nsoftware design\ndocker\nspring\nadvanced java\njava\noops\nmvc\nmongodb\nproblem solving\nnosql\nmessaging\nspring boot\ncassandra\njava programming',)"
lamp technologies pvt. ltd,"('cakephp\nhtml5\nwordpress\njoomla\nsymfony\najax\njavascript\njquery\ndatabase\nxml\nphp\ndebugging\n.net\nphonegap\nmagento',)"
Capgemini India Pvt Ltd,"('**  java programming\nspring framework\nrestful services\ncloud computing\nagile methodologies **\nsoftware design\nhibernate\nsql\numl\ndevops\njpa\npython\nddd\nmaven\nnosql\nmessaging\ngradle\nspring boot',)"
Capgemini India Pvt Ltd,"('**\nnet development\ncloud computing\napi design\nagile methodology\nmicroservices architecture **\nc\nsoa\nhtml5\nrest api\nadvanced c\nspring\njava\nrtos\ndevops\nxml\nasp.net\nweb api\nc#\ngithub\nsoftware testing\nmaven\njavascript\nmessaging\nnosql\ngroovy\nstruts\nhybris\nsoftware design\njsp\nado.net\nstorage',)"
Capgemini India Pvt Ltd,"('**  java microservices\nspring boot\nsql database\nagile environment\nautomated testing **\nc\nsoa\nhtml5\nrest api\nadvanced c\nrtos\ndevops\nxml\nasp.net\nweb api\nc#\ngithub\nsoftware testing\nmaven\njavascript\nmessaging\nnosql\ngroovy\nstruts\nhybris\nsoftware design\njsp\nado.net\nstorage\nhibernate\nmockito',)"
Myntra,"('front end development\nui architecture\njavascript\nreact\njs\nresponsive layouts\ncss\nhtml5\nreact.js\nmobile\nimaging',)"
Myntra,"('big data engineering\ndata modeling\ndata analytics\nbusiness intelligence\nperformance tuning\nalgorithms\ndebugging\npl  /  sql\npython\nunix',)"
Myntra,"('java  /  jee\nweb technologies\nrdbms\ncoding\nproblem solving\nalgorithms\nj2ee\ndata structures\nmobile\nimaging\nmessaging',)"
Moody's Corporation,"('**   database development\nsql proficiency\ndata profiling\netl  /  elt concepts\ncloud platforms  **\npl  /  sql\npython\noracle\nsybase\napplication support',)"
Capgemini India Pvt Ltd,"('**  etl development\ndata analysis\ndatabase optimization\nunix  /  linux proficiency\ndata warehousing  **\nc\nhtml5\nrest api\nadvanced c\njava\ndevops\nxml\nc#\ngithub\nsoftware testing\njavascript\nmessaging\nnosql\ngroovy\nstruts\nhybris\nsoftware design\njsp\nado.net\nhibernate\nspring mvc\nrdbms',)"
Capgemini India Pvt Ltd,"('**  etl tool experience\nsql query tuning\ndata modeling knowledge\npl  /  sql proficiency\nshell scripting experience **\nc\nhtml5\nrest api\nadvanced c\njava\ndevops\nxml\nc#\ngithub\nsoftware testing\njavascript\nmessaging\nnosql\ngroovy\nstruts\nunix  /  linux\nhybris\nsoftware design\njsp\nado.net\nhibernate',)"
Moody's Corporation,"('javascript programming\nvue.js development\nui component design\nmicroservices architecture\nsoftware development lifecycle\nalgorithms\ncss\nhtml5\nrest api\nreact.js\ndebugging\ndata structures',)"
CGI Information Systems and Management Consultants Pvt Ltd,"('**  java proficiency\nspring framework\ngithub experience\nrestful services\nangular frontend **\njunior developer\nsql\nj2ee\ndebugging\nenterprise java',)"
Microsoft India Pvt Ltd,"('**  object oriented programming\ncloud development expertise\nsecure coding practices\nci  /  cd pipeline experience\nmicroservices architecture **\nc\nrest api\njava\ndata structures\nmultithreading\nc#\nauthor\nnosql\nlivesite\nsecurity\nlinux\ndebugging\nwindows\ninfrastructure\nsystem architecture',)"
"SKYWALK VISA IMMIGRATION SERVICES LLP
     (More Jobs)","('software designing\nsoftware developing\nsoftware quality testing\nsoftware quality assurance\nquality assurance\nsoftware test engineer',)"
Capgemini India Pvt Ltd,"('**  cloud technologies\nci  /  cd tools\ninfrastructure as code\ncontainerization tools\nversion control systems **\ndocker\nsecurity\ngit\ndevops\ncloud services\nmicrosoft azure',)"
Capgemini India Pvt Ltd,"('**   visionplus development\nmainframe environment\ncobol programming\ntechnical troubleshooting\nca tools knowledge  **\neasytrieve\ntso\nispf\njcl\nendevor\nvsam\nsystem architecture\ncics',)"
Capgemini India Pvt Ltd,"('**  core java expertise\nspring framework proficiency\nrestful api development\nrelational databases knowledge\ncloud platforms experience **\nsql\njava ee\ntechnical skills\ncloud services\noracle\nteam player\njava developer\nspring boot\nsystem architecture\nunix shell',)"
Moody's Corporation,"('**   web development practices\ncode quality assurance\nproblem solving abilities\nuser experience focus\nteam collaboration skills  **\ncss\nsecurity\nhtml\npython\nnode.js\nweb technologies',)"
Moody's Corporation,"('**  java  /  jee development\nagile methodology\nmicroservices architecture\ndatabase management\nweb services integration **\nsoa\nspring\nxml\nj2ee\napi\ngithub\nmaven\neclipse\nsoap\nhibernate\nsql\ndocker\niam\njson\njpa\nrest\nproblem solving\nproduction support\nservice oriented architecture\ngateway',)"
Capgemini India Pvt Ltd,"('**  java development expertise\nspring framework knowledge\nrestful api services\nsql and database proficiency\ncloud platform experience **\noracle\nteam player\njava developer\nspring boot\nunix shell\njava ee',)"
Microsoft India Pvt Ltd,"('**  cloud development\nobject oriented programming\nci  /  cd pipelines\nmultithreading expertise\neffective communication **\nc\njava\ndevops\nc#\nlivesite\nsecurity\ndebugging\nwindows\ninfrastructure\nsystem architecture',)"
Capgemini India Pvt Ltd,"('**  java development\nspring framework\nrestful services\nsql  /  plsql\nagile methodology **\nc\nsoa\nhtml5\nrest api\nadvanced c\nrtos\ndevops\nxml\nasp.net\nweb api\npl  /  sql\nc#\ngithub\nsoftware testing\nmaven\njavascript\nnosql\nmessaging\ngroovy\nstruts\nhybris\nsoftware design\njsp\nado.net\nstorage\nhibernate',)"
Capgemini India Pvt Ltd,"('dynamics  ce\npowerapps\npower automate\npowerbi\njavascript\nc#\ncss\nhtml5\ndevops\nproject delivery\njson\nsharepoint',)"
Capgemini India Pvt Ltd,"('java\nspring boot\nrestful services\njpa  /  hibernate\nsql\nnosql db\ncloud environment\nc\nhtml5\nrest api\nadvanced c\ndevops\nxml\nc#\ngithub\nsoftware testing\njavascript\nmessaging\ngroovy\nstruts\nhybris\nsoftware design\njsp\nado.net\nspring mvc\nentity framework\ngradle\ncloud storage\nsoa\nrtos\nasp.net',)"
Capgemini India Pvt Ltd,"('visionplus development\nmainframe environment\ntechno functional knowledge\nmainframe development skills\nca tools\neasytrieve\ntso\nispf\njcl\ncobol\nendevor\ncics\nvsam',)"
Capgemini India Pvt Ltd,"('visionplus development\ntechno functional knowledge\nmainframe environment\nmainframe development\ntroubleshooting\neasytrieve\ntso\nispf\njcl\ncobol\nendevor\ncics\nvsam',)"
Capgemini India Pvt Ltd,"('cards  /  payment domain\ncore java\nspring framework\nrestful apis\nsql databases\noracle\nteam player\njava developer\nspring boot\nunix shell\njava ee',)"
Capgemini India Pvt Ltd,"('java development\nspring framework\nrestful apis\ntest case writing\ncloud platforms\nsql\njava ee\ntechnical skills\ncloud services\noracle\nteam player\njava developer\nspring boot\nsystem architecture\nunix shell',)"
Capgemini India Pvt Ltd,"('cards  /  payment domain\ncore java\nspring framework\nrestful api services\nsql databases\njava ee\ntechnical skills\ncloud services\noracle\nteam player\njava developer\nspring boot\nsystem architecture\nunix shell',)"
Capgemini India Pvt Ltd,"('java\nspring boot\nrestful services\norm technology\nagile scrum\nc\nsoa\nhtml5\nrest api\nadvanced c\nrtos\ndevops\nxml\nasp.net\nweb api\npl  /  sql\nc#\ngithub\nsoftware testing\nmaven\njavascript\nnosql\nmessaging\ngroovy\nstruts\nhybris\nsoftware design\njsp\nado.net\nstorage\nhibernate\nmockito\njquery\ndocker',)"
Capgemini India Pvt Ltd,"('java spring\nrestful services\norm technologies\nsql  /  pl  /  sql\nagile methodologies\nc\nsoa\nhtml5\nrest api\nadvanced c\nrtos\ndevops\nxml\nasp.net\nweb api\nc#\ngithub\nsoftware testing\nmaven\njavascript\nnosql\nmessaging\ngroovy\nstruts\nhybris\nsoftware design\njsp\nado.net\nstorage\nhibernate\nmockito\njquery',)"
Capgemini India Pvt Ltd,"('visionplus development\ntechno functional knowledge\nmainframe environment\nmainframe technical development\ncommunication skills\neasytrieve\ntso\nispf\njcl\ncobol\nendevor\ncics\nvsam',)"
